# paper/generated/provenance.txt
# Generated by build_numbers.py on 2026-05-30T15:09:48Z
# Total citations: 94

FILE                                     LINE  MACRO        CSV                  KEY                                      VALUE
sections/05_results.tex                    320 result       headline_unanimous   swebench:codex:onlycode-vs-baseline:cost_adj:full_mean_delta_pct -19.9086
sections/05_results.tex                    321 result       headline_unanimous   swebench:codex:onlycode-vs-baseline:cost_adj:unanimous_majority_n 42
sections/05_results.tex                    322 result       headline_unanimous   swebench:codex:onlycode-vs-baseline:cost_adj:unanimous_majority_mean_delta_pct -15.4971
sections/06_discussion.tex                  30 result       edit_friction        rho_edit_chars:value                     0.4880542695919644
sections/06_discussion.tex                  32 result       edit_friction        n_instances:value                        100.0
sections/06_discussion.tex                  35 result       edit_friction        lowpatch_delta_output_tokens:value       2650.333333333333
sections/06_discussion.tex                  37 result       edit_friction        highpatch_delta_output_tokens:value      6378.434027777778
sections/06_discussion.tex                  40 result       edit_friction        intercept_gap:value                      3992.6121625812666
sections/06_discussion.tex                  69 result       fig.04_h2_truncation exec_command_cap                         40154.0
sections/06_discussion.tex                  70 result       fig.04_h2_truncation truncation_tokens                        3918.0
sections/06_discussion.tex                  72 result       fig.04_h2_truncation onlycode_chars                           1514.0
sections/06_discussion.tex                  80 result       mcp_output_size      codex_swebench:baseline:llm_calls_per_run 18.2
sections/06_discussion.tex                  82 result       mcp_output_size      codex_swebench:onlycode:llm_calls_per_run 18.0
sections/06_discussion.tex                  86 result       mcp_output_size      codex_swebench:onlycode:calls_per_run    17.1
sections/06_discussion.tex                  88 result       mcp_output_size      codex_swebench:baseline:calls_per_run    22.9
sections/06_discussion.tex                  95 result       mcp_output_size      codex_swebench:onlycode:median_chars     1747
sections/06_discussion.tex                  97 result       mcp_output_size      codex_swebench:baseline:median_chars     1648
sections/06_discussion.tex                  99 result       mcp_output_size      codex_swebench:baseline:p99_chars        40154
sections/06_discussion.tex                 101 result       mcp_output_size      codex_swebench:onlycode:p99_chars        16736
sections/06_discussion.tex                 112 result       mcp_output_size      claude_swebench:onlycode:calls_per_run   30.1
sections/06_discussion.tex                 114 result       mcp_output_size      claude_swebench:baseline:calls_per_run   27.9
sections/06_discussion.tex                 134 result       agreement_matrix     _all:_all:min_unanimous_majority_pct     91.0
